L_501,L_503,L_511C,L_511R,L_512,L_521,L_551,L_561,L_562,Trasfega,Filtracao,Brassagem,Energia,anomaly
0.0,0.0,2384.407,0.0,3020.924,0.0,0.0,0.0,0.0,10397,14865.0,17563.8,102784.59,1
0.0,0.0,1621.611,0.0,6076.104,170.8,0.0,2640.0,0.0,12859,3640.0,13985.4,115752.86,1
2804.25,2814.027,3680.043,0.0,3817.594,35.4,0.0,271.2,1186.14,6238,0.0,14022.1,130246.6,1
3393.75,0.0,4069.322,0.0,6866.077,0.0,0.0,1642.08,797.52,3204,12852.0,12318.0,125788.4,1
2969.25,1831.95,3902.757,0.0,6665.538,305.5,18.84,2889.12,2341.26,8111,11021.0,1750.3,139058.8,1
1270.65,0.0,4051.473,0.0,6712.222,0.0,0.0,5122.56,1829.88,15553,4577.0,14610.3,142138.0,1
0.0,0.0,1386.928,0.0,5900.3,0.0,0.0,1123.8,0.0,6393,14248.0,3416.2,100031.0,1
0.0,720.36,4411.187,0.0,6109.595,482.5,0.0,0.0,0.0,3370,12540.0,14135.3,105719.0,1
1894.65,3255.213,4418.728,0.0,5549.215,138.5,0.0,0.0,0.0,6240,10523.0,8944.8,120743.0,1
2558.7,1509.03,3468.918,0.0,3638.965,424.5,216.288,0.0,1164.0,13665,8501.0,17876.5,141548.0,1
0.0,1286.16,4422.732,0.0,6002.465,195.3,596.88,1860.96,1840.8,12181,12740.0,10882.5,145840.0,1
0.0,0.0,3474.541,0.0,4111.624,0.0,0.0,406.92,3126.72,10304,5676.0,16234.3,121890.143,1
0.0,0.0,2707.059,0.0,6141.996,152.0,0.0,2029.56,3371.76,9176,17243.0,12114.9,133808.195,1
1638.0,2074.14,3987.147,0.0,6845.014,424.4,609.84,2030.52,3733.35,3248,12503.0,13770.8,143586.33,1
2358.75,0.0,3128.16,0.0,3977.34,56.1,0.0,2073.72,2266.98,3189,11006.0,0.0,101288.66,1
3654.0,0.0,2738.349,0.0,4411.022,352.0,0.0,2696.4,2665.08,9712,11493.0,10465.0,122608.39,1
1497.6,2877.645,3789.483,0.0,5294.445,210.0,196.992,2164.8,2525.82,6037,7400.0,10842.2,137127.0,1
3056.7,2824.17,3694.081,0.0,6005.533,203.2,192.211,2229.0,1688.46,12797,16677.0,13877.6,147880.9,1
3064.95,3098.79,3074.186,0.0,6831.457,192.0,387.72,2718.48,1662.48,3763,14538.0,15873.1,152452.9,1
2570.85,301.53,4278.786,0.0,4802.982,216.2,600.96,3227.52,1828.56,13383,16060.0,15959.0,149644.4,1
0.0,2719.98,3469.749,0.0,7094.983,244.0,0.0,2314.92,2532.15,11357,27640.0,5519.4,130350.7,1
0.0,211.14,3716.254,0.0,5797.892,338.5,0.0,1477.8,3690.9,0,14030.0,14053.6,123376.152,1
0.0,0.0,4316.914,0.0,6126.825,0.0,0.0,0.0,1077.0,6258,17180.0,16197.2,114108.1821,1
0.0,0.0,1328.012,0.0,6236.496,279.1,0.0,2965.68,1452.36,6306,0.0,14458.9,111824.64,1
0.0,1567.542,1559.5,0.0,6691.322,109.0,0.0,2017.44,1902.06,6389,0.0,8750.6,131105.0,1
2980.95,3016.197,3213.318,0.0,3225.66,552.0,0.0,2503.2,1143.0,9577,0.0,15607.6,135487.0,1
2469.0,2678.511,3000.403,0.0,4264.672,315.3,180.897,1993.32,3685.35,10174,3709.0,11015.5,141980.0,1
2894.85,1105.38,3329.83,0.0,5367.034,223.0,0.0,1993.32,4037.04,6336,20095.0,15841.7,144610.0,1
507.3,0.0,3330.042,0.0,6419.644,0.0,0.0,0.0,3800.52,10101,9550.0,8498.8,113431.0,1
0.0,633.42,1529.617,0.0,6155.594,0.0,179.533,2027.88,3061.92,6436,11330.0,12776.1,124362.0,1
2818.725,3023.58,3355.901,0.0,5804.67,0.0,0.0,1405.68,1574.58,5598,5080.0,1785.3,129461.0,1
3437.85,2583.36,3968.787,0.0,1959.638,120.0,0.0,0.0,994.68,6372,19773.0,15786.4,133493.0,1
1951.05,0.0,2168.212,0.0,6631.038,330.0,0.0,1200.96,3155.424,15400,10000.0,14122.2,137011.0,1
0.0,0.0,4186.132,0.0,6161.163,0.0,0.0,1633.8,822.6,4785,12230.0,5331.6,110192.0,1
0.0,1605.009,3798.046,0.0,3943.608,411.5,0.0,823.44,2106.96,6382,5800.0,0.0,114452.0,1
0.0,2940.987,3571.967,0.0,3903.257,328.4,0.0,2673.48,4441.35,9374,14900.0,14229.1,136808.0,1
2216.7,3041.52,3532.989,0.0,6781.18,120.0,587.28,2586.96,0.0,2914,15580.0,19431.9,139134.0,1
3343.2,1467.147,3551.051,0.0,6304.042,603.5,0.0,1819.08,2633.4,14071,5700.0,14365.9,144414.0,1
2438.25,2932.914,3354.026,0.0,6919.904,0.0,0.0,1885.92,3889.32,8470,7800.0,3517.5,118928.0,1
0.0,0.0,1747.026,0.0,4425.023,0.0,0.0,0.0,0.0,14644,10387.0,12515.0,95289.0,1
0.0,0.0,4416.236,0.0,3650.948,249.0,0.0,0.0,0.0,6279,10990.0,19101.5,103918.0,1
399.9,0.0,2425.73,0.0,6174.882,355.9,0.0,0.0,663.84,9869,9165.0,17749.7,111490.0,1
2246.4,372.6,3748.524,0.0,4391.21,0.0,0.0,1390.44,1761.54,6148,6218.0,14575.7,136104.0,1
2758.2,1994.1,3082.046,0.0,6423.68,257.2,0.0,797.88,1832.46,6284,17811.0,12205.7,140517.0,1
2242.8,2191.371,2604.074,0.0,4698.273,216.1,0.0,0.0,1318.98,15889,16120.0,8729.6,119145.843,1
2657.7,2731.779,2547.821,0.0,6266.436,0.0,0.0,0.0,0.0,9130,14140.0,0.0,109283.5,1
0.0,0.0,3608.774,0.0,6057.544,0.0,0.0,0.0,0.0,5824,11540.0,0.0,81771.9,1
2215.5,0.0,2566.011,0.0,6390.713,386.2,0.0,0.0,2263.44,2640,7912.0,15994.1,116624.5,1
2479.95,0.0,2407.837,0.0,2123.378,24.3,23.76,0.0,1469.88,9381,3340.0,1678.6,97211.9,1
2634.0,0.0,2157.051,0.0,6808.296,253.0,0.0,0.0,840.0,12451,17641.0,15203.1,115698.23,1
0.0,0.0,4558.924,0.0,6244.203,0.0,0.0,0.0,0.0,9161,10570.0,19493.4,104830.4,1
0.0,2424.522,3895.727,0.0,5221.936,215.1,0.0,811.8,3036.75,6294,10370.0,17561.9,139547.4,1
2353.8,3067.74,3814.87,0.0,4588.037,390.0,0.0,1123.68,1917.51,7265,10092.0,0.0,127844.2,1
2769.6,3021.027,4328.117,0.0,1958.226,0.0,125.88,0.0,1785.75,9486,14250.0,5057.5,119730.3,1
2997.9,2949.75,926.806,272.683,4134.262,0.0,436.44,567.36,1731.36,6318,6260.0,12831.6,137161.6,1
0.0,0.0,2532.229,0.0,7295.038,0.0,0.0,0.0,0.0,6435,4800.0,0.0,70482.8,1
