L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Heat;;;
0;0;2384.407;0;3020.924;0;0;0;0;10397;14865;17563.8;653744.4427;;;
0;0;1621.611;0;6076.104;170.8;0;2640;0;12859;3640;13985.4;643972.9517;;;
1407.75;2241.603;2118.966;0;2748.683;623.9;202.032;3868.92;441.96;11091;11693;12221.7;1081341.392;;;
2804.25;2814.027;3680.043;0;3817.594;35.4;0;271.2;1186.14;6238;0;14022.1;1026302.677;;;
3393.75;0;4069.322;0;6866.077;0;0;1642.08;797.52;3204;12852;12318;1035454.025;;;
2969.25;1831.95;3902.757;0;6665.538;305.5;18.84;2889.12;2341.26;8111;11021;1750.3;692256.4858;;;
3439.8;2494.35;0;922.333;6861.8;389.2;0;2606.88;3042.09;6283;17433;10480.8;598048.8431;;;
881.55;2738.817;0;3163.561;5182.312;142.8;0;2829.84;2441.916;8835;9760;17542.2;1136319.052;;;
3239.7;3296.13;0;3776.533;3239.177;333.5;0;2826.36;1804.32;12698;7200;15857.5;897543.748;;;
3172.05;3456.417;0;2897.652;6234.923;69.6;541.08;2181.6;1797.54;6444;17403;10987.6;1130807.939;;;
3475.8;3019.923;1928.843;1431.743;6120.773;355.9;600.72;3040.44;1826.58;6131;9045;15705.1;1049793.924;;;
1270.65;0;4051.473;0;6712.222;0;0;5122.56;1829.88;15553;4577;14610.3;862995.578;;;
0;0;1386.928;0;5900.3;0;0;1123.8;0;6393;14248;3416.2;312354.2773;;;
0;720.36;4411.187;0;6109.595;482.5;0;0;0;3370;12540;14135.3;718559.8085;;;
1894.65;3255.213;4418.728;0;5549.215;138.5;0;0;0;6240;10523;8944.8;680435.6394;;;
2558.7;1509.03;3468.918;0;3638.965;424.5;216.288;0;1164;13665;8501;17876.5;854141.0363;;;
0;1286.16;4422.732;0;6002.465;195.3;596.88;1860.96;1840.8;12181;12740;10882.5;863994.6512;;;
0;2432.25;3327.443;0;3951.152;274;636.72;1375.08;1101.6;2253;13799;10819.3;649757.4073;;;
0;0;3474.541;0;4111.624;0;0;406.92;3126.72;10304;5676;16234.3;539372.2363;;;
0;0;2707.059;0;6141.996;152;0;2029.56;3371.76;9176;17243;12114.9;684995.1038;;;
1638;2074.14;3987.147;0;6845.014;424.4;609.84;2030.52;3733.35;3248;12503;13770.8;691821.6572;;;
3025.5;3778.44;3262.926;0;6698.1;48;602.88;3534.6;4153.14;7269;12595;0;485504.0066;;;
3802.65;1802.832;3001.724;0;2759.053;416.4;612.96;936;2067.36;6299;8616;0;648496.8647;;;
3037.65;0;4118.909;0;5761.98;338.5;381.72;0;3282.51;9786;15692;0;484869.0777;;;
2358.75;0;3128.16;0;3977.34;56.1;0;2073.72;2266.98;3189;11006;0;309952.233;;;
3654;0;2738.349;0;4411.022;352;0;2696.4;2665.08;9712;11493;10465;1228109.092;;;
1497.6;2877.645;3789.483;0;5294.445;210;196.992;2164.8;2525.82;6037;7400;10842.2;1293689.652;;;
3056.7;2824.17;3694.081;0;6005.533;203.2;192.211;2229;1688.46;12797;16677;13877.6;829768.8597;;;
3064.95;3098.79;3074.186;0;6831.457;192;387.72;2718.48;1662.48;3763;14538;15873.1;746562.1919;;;
2570.85;301.53;4278.786;0;4802.982;216.2;600.96;3227.52;1828.56;13383;16060;15959;866979.1436;;;
0;2719.98;3469.749;0;7094.983;244;0;2314.92;2532.15;11357;27640;5519.4;734285.6158;;;
0;211.14;3716.254;0;5797.892;338.5;0;1477.8;3690.9;0;14030;14053.6;1028823.721;;;
0;0;4316.914;0;6126.825;0;0;0;1077;6258;17180;16197.2;489584.0298;;;
0;0;1328.012;0;6236.496;279.1;0;2965.68;1452.36;6306;0;14458.9;585523.9901;;;
585.9;2086.56;0;2010.294;6332.61;276.5;0;1344;1452.996;6007;0;17909.3;931995.2613;;;
3273;2305.635;0;3795.873;6388.091;477;616.2;2005.92;1912.032;9700;0;12316.9;1050735.726;;;
2765.7;0;0;3248.165;4218.27;497.9;582.96;932.88;1636.128;10514;0;14252.4;480051.4719;;;
2899.95;1870.176;0;888.466;5675.106;0;192.6;1855.44;1537.2;9476;0;8930.9;864899.6269;;;
2614.8;1564.92;0;2598.131;4945.175;231.5;0;1979.04;1684.8;6330;0;11774.7;920646.2184;;;
0;0;0;2061.244;7012.305;0;0;0;803.52;9700;0;10206.8;788313.2684;;;
0;0;0;2758.435;5417.512;316.1;560.64;1924.32;1882.11;7781;0;14530.9;535204.1285;;;
0;1567.542;1559.5;0;6691.322;109;0;2017.44;1902.06;6389;0;8750.6;963934.3867;;;
2363.4;3446.895;4269.201;0;7279.906;224;598.2;1818.6;2220;9696;0;5117.3;970602.7573;;;
2980.95;3016.197;3213.318;0;3225.66;552;0;2503.2;1143;9577;0;15607.6;1059365.333;;;
2469;2678.511;3000.403;0;4264.672;315.3;180.897;1993.32;3685.35;10174;3709;11015.5;939646.2914;;;
2894.85;1105.38;3329.83;0;5367.034;223;0;1993.32;4037.04;6336;20095;15841.7;1116526.853;;;
507.3;0;3330.042;0;6419.644;0;0;0;3800.52;10101;9550;8498.8;794811.0276;;;
0;633.42;1529.617;0;6155.594;0;179.533;2027.88;3061.92;6436;11330;12776.1;766976.3747;;;
2818.725;3023.58;3355.901;0;5804.67;0;0;1405.68;1574.58;5598;5080;1785.3;1015469.079;;;
3437.85;2583.36;3968.787;0;1959.638;120;0;0;994.68;6372;19773;15786.4;981484.984;;;
3282;0;2889.217;0;6269.018;636;351;892.68;1457.82;16072;2432;13256.8;1262059.627;;;
3053.85;0;786.566;0;6694.993;309.2;607.44;1528.44;3900.24;3253;19002;15934.1;1016685.114;;;
1951.05;0;2168.212;0;6631.038;330;0;1200.96;3155.424;15400;10000;14122.2;692105.6373;;;
0;0;4186.132;0;6161.163;0;0;1633.8;822.6;4785;12230;5331.6;472306.1927;;;
0;1605.009;3798.046;0;3943.608;411.5;0;823.44;2106.96;6382;5800;0;368665.0296;;;
0;2940.987;3571.967;0;3903.257;328.4;0;2673.48;4441.35;9374;14900;14229.1;927397.5818;;;
2216.7;3041.52;3532.989;0;6781.18;120;587.28;2586.96;0;2914;15580;19431.9;1091574.623;;;
3343.2;1467.147;3551.051;0;6304.042;603.5;0;1819.08;2633.4;14071;5700;14365.9;983839.1527;;;
3412.5;2465.37;3864.373;0;7005.406;271;172.8;1845.6;4358.49;8355;28220;5315.8;864135.5855;;;
2438.25;2932.914;3354.026;0;6919.904;0;0;1885.92;3889.32;8470;7800;3517.5;942305.3074;;;
0;0;1747.026;0;4425.023;0;0;0;0;14644;10387;12515;728421.1084;;;
0;0;4416.236;0;3650.948;249;0;0;0;6279;10990;19101.5;802319.9851;;;
399.9;0;2425.73;0;6174.882;355.9;0;0;663.84;9869;9165;17749.7;691392.4701;;;
2246.4;372.6;3748.524;0;4391.21;0;0;1390.44;1761.54;6148;6218;14575.7;958055.0931;;;
2758.2;1994.1;3082.046;0;6423.68;257.2;0;797.88;1832.46;6284;17811;12205.7;1183427.995;;;
2242.8;2191.371;2604.074;0;4698.273;216.1;0;0;1318.98;15889;16120;8729.6;920218.7217;;;
2657.7;2731.779;2547.821;0;6266.436;0;0;0;0;9130;14140;0;575725.3679;;;
0;0;3608.774;0;6057.544;0;0;0;0;5824;11540;0;647246.6835;;;
0;0;4417.066;0;6747.73;30;802.44;0;0;9722;5810;10517.8;783496.6831;;;
2215.5;0;2566.011;0;6390.713;386.2;0;0;2263.44;2640;7912;15994.1;894129.6;;;
2976.6;0;3745.562;0;1858.602;623.5;0;0;1192.632;0;13833;3627;487067.5573;;;
2479.95;0;2407.837;0;2123.378;24.3;23.76;0;1469.88;9381;3340;1678.6;503443.7836;;;
3702;0;2431.097;0;6120.651;263.4;183.816;0;2332.368;9261;17710;18883.9;1116948.788;;;
2634;0;2157.051;0;6808.296;253;0;0;840;12451;17641;15203.1;1074882.416;;;
0;0;4558.924;0;6244.203;0;0;0;0;9161;10570;19493.4;679538.6835;;;
0;2424.522;3895.727;0;5221.936;215.1;0;811.8;3036.75;6294;10370;17561.9;800325.3215;;;
2353.8;3067.74;3814.87;0;4588.037;390;0;1123.68;1917.51;7265;10092;0;890059.6427;;;
2769.6;3021.027;4328.117;0;1958.226;0;125.88;0;1785.75;9486;14250;5057.5;640572.3183;;;
2997.9;2949.75;926.806;272.683;4134.262;0;436.44;567.36;1731.36;6318;6260;12831.6;841123.5283;;;
2392.2;1686.774;0;2537.555;10113.446;0;0;0;2446.56;6368;12104;8250.6;823259.7787;;;
2439.15;1393.386;0;3554.501;2784.956;0;0;0;2780.34;4917;12082;0;550260.2247;;;
0;0;0;1557.541;7820.476;0;0;0;0;3959;9670;0;323623.3418;;;
0;0;1021.548;0;7139.125;0;0;0;0;12809;9150;0;254159.1212;;;
0;0;2532.229;0;7295.038;0;0;0;0;6435;4800;0;411866.3196;;;
0;1691.19;4275.997;0;4043.514;0;0;0;0;6324;9676;7037.8;735604.8672;;;
0;3455.589;2531.036;0;4490.229;0;0;0;0;6281;920;0;343332.8481;;;
0;0;0;0;0;0;0;0;0;0;0;0;327859.4388;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;;;
0;0;0;0;0;0;0;0;0;4982;0;0;32292;;;
0;0;0;0;0;0;0;0;0;4895;6600;0;161460;;;
0;0;0;0;4099.479;0;0;1200;3420;5095;0;0;258336;;;
0;0;0;0;1101.434;0;0;0;5425.32;0;0;12401.8;653310.3834;;;
0;0;0;0;0;0;0;0;4380.24;0;0;3637.9;407013.7641;;;
0;0;0;0;0;0;0;0;3840.87;3613;0;0;256183.2;;;
0;0;0;0;0;0;0;0;1152.6;0;9000;0;96876;;;
0;0;0;0;0;0;0;0;0;5948;5;0;32292;;;
0;1719.204;2853.455;0;0;0;0;0;0;0;0;0;374721.7641;;;
0;2415.69;3072.12;0;0;0;0;0;0;0;9700;0;529445.1399;;;
0;2262.993;3364.91;0;0;0;0;0;0;0;8380;12340.4;630469.6887;;;
2813.4;0;2894.351;0;0;0;0;0;0;0;5360;12534.5;688511.2514;;;
0;0;0;0;0;0;0;0;0;12590;0;0;32292;;;
0;0;0;0;0;0;0;0;0;0;0;0;96876;;;
0;0;0;0;0;0;0;0;0;0;0;0;123570.3784;;;
0;1467.216;444.233;0;0;0;395.28;0;1555.44;0;867;0;590324.9675;;;
0;0;0;0;0;0;0;0;0;0;0;1047.8;170105.2833;;;
0;2528.091;2590.165;0;0;0;0;0;3718.92;9324;4500;11313;661993.0761;;;
0;3288.747;3568.133;0;667.752;0;0;0;4324.68;6266;5150;12565.2;851138.0551;;;
0;418.485;3469.195;0;993.014;0;0;0;3442.74;0;11250;12264;710232.6019;;;
0;0;4031.089;0;450.548;0;0;0;800.4;0;3150;3572.2;299275.5623;;;
0;0;1788.731;0;1723.55;0;0;0;0;3034;0;0;140166.4473;;;
0;0;0;0;3502.098;0;0;0;1756.8;0;7200;0;310726.5525;;;
0;2018.25;4156.269;0;3549.711;0;0;0;4311;4890;5038;5688;759818.6147;;;
0;3415.5;3759.557;0;831.614;0;0;0;4999.32;4977;4242;13198.6;518475.0276;;;
0;3071.604;3320.436;0;0;0;0;0;3407.58;0;11277;12913.8;561259.8756;;;
0;3134.049;0;0;4222.627;0;0;0;1194.75;9275;10160;9210;1054460.145;;;
